Date,Sal_gperL,Temp_degC,TSS_mgperL,DO_mgperL,Ammonia_mgperL,NOx_mgperL,TN_mgperL,TP_mgperL,SiO2_mgperL,FRP_mgperL,TOC_mgperL,TON_mgperL,DOC_mgperL,Chlorophyll_mgperm3,Ecoli_cfuper100mL,FaecalColiform_cfuper100mL,Enterococci_cfuper100mL
10/01/2005 00:00,,,,,0.06,0.9,1.49,0.106,,0.036,,,,18.3,66,100,66
10/01/2005 00:00,,,,,,,,,,,,,,18.3,,,
03/02/2005 00:00,,21.1,,6.9,0.11,1.22,2.48,0.358,,0.123,,,,,5000,23000,5000
03/02/2005 00:00,,,,,0.11,1.23,2.48,0.354,,0.117,,,,,4000,21000,4000
09/02/2005 00:00,,26.7,,9.2,0.01,2,3.23,0.179,,0.042,,,,28.7,130,440,130
09/02/2005 00:00,,,,,,,,,,,,,,31.6,,,
11/03/2005 00:00,,7.5,,7.8,0.06,1.51,2.31,0.092,,0.026,,,,5.3,40,120,40
11/03/2005 00:00,,,,,0.06,1.52,2.17,0.086,,0.029,,,,4.8,22,140,22
04/04/2005 00:00,,20.1,,8.2,0.03,3.2,3.92,0.053,,0.017,,,,3.5,77,140,77
04/04/2005 00:00,,,,,0.03,3.2,3.95,0.053,,0.017,,,,4.9,76,160,76
04/05/2005 00:00,,17.3,,7.9,0.03,2.5,3.25,0.068,,0.023,,,,5.2,82,120,82
04/05/2005 00:00,,,,,0.04,2.6,3.2,0.061,,0.022,,,,4.4,68,80,68
09/06/2005 00:00,,14.1,,11.9,0.02,3.4,4.08,0.034,,0.014,,,,6.3,12,58,12
09/06/2005 00:00,,,,,0.02,3.4,4.03,0.036,,0.013,,,,6.4,16,51,16
01/07/2005 00:00,,15.6,,13.7,0.07,1.45,2.22,0.187,,0.074,,,,,11000,6600,11000
01/07/2005 00:00,,,,,0.08,1.44,2.09,0.184,,0.075,,,,,10000,7300,10000
21/07/2005 00:00,,11.2,,11.4,0.03,2.5,3.13,0.049,,0.015,,,,2.8,18,88,18
21/07/2005 00:00,,,,,0.03,2.5,3.27,0.049,,0.015,,,,2.8,26,80,26
21/07/2005 00:00,,,,,,,,,,,,,,,,,
21/07/2005 00:00,,,,,,,,,,,,,,,,,
25/08/2005 00:00,,,,,0.1,2.8,3.67,0.049,,0.014,,,,17.4,22,110,22
25/08/2005 00:00,,,,,,,,,,,,,,21,,,
12/09/2005 00:00,,18,,9.6,0.05,2.2,2.95,0.061,,0.021,,,,13.5,48,76,48
12/09/2005 00:00,,,,,0.05,2.3,2.98,0.06,,0.019,,,,5.8,38,86,38
25/10/2005 00:00,,22.4,,9.6,0.01,1.41,2.03,0.05,,0.023,,,,0.5,140,100,140
25/10/2005 00:00,,,,,0.01,1.43,2.04,0.051,,0.022,,,,4.4,100,100,100
24/11/2005 00:00,,20.4,,5.9,0.27,1.15,2.18,0.189,,0.072,,,,4.9,810,3000,810
24/11/2005 00:00,,,,,0.28,1.15,2.17,0.189,,0.071,,,,4.5,790,2700,790
12/12/2005 00:00,,25.8,,8.9,0.005,0.93,1.78,0.1,,0.025,,,,59.7,78,88,78
12/12/2005 00:00,,,,,,,,,,,,,,71.5,,,
11/01/2006 00:00,,27.8,,7.8,0.03,1.26,1.83,0.068,,0.03,,,,2.5,78,100,78
11/01/2006 00:00,,,,,0.02,1.26,1.76,0.07,,0.03,,,,4.1,84,110,84
20/01/2006 00:00,,22.8,,7.6,0.05,1.14,1.73,0.144,,0.038,,,,,510,490,510
20/01/2006 00:00,,,,,0.07,1.14,1.75,0.144,,0.038,,,,,580,560,580
16/02/2006 00:00,,24.5,,6.4,0.05,1.22,1.89,0.063,,0.023,,,,6.2,46,110,46
16/02/2006 00:00,,,,,0.05,1.22,1.88,0.061,,0.023,,,,6.5,48,92,48
01/03/2006 00:00,,,,,,,,,,,,,,,,,
01/03/2006 00:00,,,,,,,,,,,,,,,,,
24/03/2006 00:00,,22.5,,7.5,0.08,1.39,2.03,0.117,,0.027,,,,9.9,420,500,420
24/03/2006 00:00,,,,,,,,,,,,,,18.3,,,
11/04/2006 00:00,,18.8,,10.3,0.005,2,2.59,0.112,,0.016,,,,17.3,47,250,47
11/04/2006 00:00,,,,,,,,,,,,,,20.6,,,
17/05/2006 00:00,,16.4,,10.3,0.04,2.8,3.32,0.044,,0.014,,,,3.4,42,86,42
17/05/2006 00:00,,,,,0.04,2.8,3.46,0.047,,0.014,,,,2.7,46,110,46
16/06/2006 00:00,,10.8,,10.3,0.05,1.4,1.8,0.078,,0.021,,,,1.7,74,160,74
16/06/2006 00:00,,,,,0.05,1.4,1.76,0.076,,0.021,,,,1.7,88,160,88
27/07/2006 00:00,,13.6,,10.6,0.12,1.23,1.6,0.087,,0.032,,,,3.4,1300,580,1300
27/07/2006 00:00,,,,,0.12,1.23,1.64,0.088,,0.032,,,,2.9,1300,540,1300
15/08/2006 00:00,,12.2,,11.7,0.05,2.6,3.34,0.057,,0.018,,,,4.9,18,52,18
15/08/2006 00:00,,,,,0.05,2.6,3.38,0.053,,0.018,,,,3.8,23,43,23
09/09/2006 00:00,,13.6,,9.9,0.62,3.5,4.52,0.301,,0.106,,,,,3200,12000,3200
09/09/2006 00:00,,,,,0.59,3.5,4.56,0.296,,0.106,,,,,4300,13000,4300
15/09/2006 00:00,,18.7,,9.1,0.14,3.7,4.73,0.194,,0.08,,,,3,180,240,180
15/09/2006 00:00,,,,,0.15,3.7,4.76,0.212,,0.08,,,,2.4,170,200,170
27/10/2006 00:00,,22.4,,9.4,0.04,1.79,2.57,0.059,,0.026,,,,5.2,70,160,70
27/10/2006 00:00,,,,,0.04,1.81,2.5,0.058,,0.026,,,,5.5,58,170,58
20/11/2006 00:00,,20.9,,10.2,0.02,1.43,1.91,0.048,,0.026,,,,2.8,120,70,120
20/11/2006 00:00,,,,,0.02,1.44,1.91,0.051,,0.026,,,,3.8,120,100,120
20/11/2006 00:00,,,,,,,,,,,,,,,,,
20/11/2006 00:00,,,,,,,,,,,,,,,,,
18/12/2006 00:00,,22.5,,9.2,0.04,1.68,2.19,0.063,,0.035,,,,3.8,220,110,220
18/12/2006 00:00,,,,,0.04,1.7,2.2,0.061,,0.034,,,,2.5,210,100,210
18/12/2006 00:00,,,,,,,,,,,,,,,,,
23/01/2007 00:00,,26.6,,5.3,0.02,1.11,1.67,0.06,,0.025,,,,10.2,63,13,63
23/01/2007 00:00,,,,,0.02,1.1,1.67,0.058,,0.025,,,,9.4,45,12,45
23/01/2007 00:00,,,,,,,,,,,,,,,,,
23/01/2007 00:00,,,,,,,,,,,,,,,,,
23/01/2007 00:00,,,,,,,,,,,,,,,,,
14/02/2007 00:00,,23.3,,6.9,0.32,1.69,2.58,0.222,,0.059,,,,,2100,3400,2100
